country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,date
World,"1,346,004","+73,142","74,654","+5,229","278,445",2020-04-06
China,"81,708",+39,"3,331 ",+2,"77,078",2020-04-06
USA,"367,004","+30,331","10,871 ","+1,255","19,671",2020-04-06
Spain,"136,675","+5,029","13,341 ",+700,"40,437",2020-04-06
Italy,"132,547","+3,599","16,523 ",+636,"22,837",2020-04-06
Germany,"103,375","+3,252","1,810  ",+226,"28,700",2020-04-06
France,"98,010","+5,171","8,911 ",+833,"17,250",2020-04-06
Iran,"60,500","+2,274","3,739 ",+136,"24,236",2020-04-06
UK,"51,608","+3,802","5,373 ",+439,135,2020-04-06
Turkey,"30,217","+3,148",649 ,+75,"1,326",2020-04-06
Switzerland,"21,657",+557,765 ,+50,"8,056",2020-04-06
Belgium,"20,814","+1,123","1,632 ",+185,"3,986",2020-04-06
Netherlands,"18,803",+952,"1,867 ",+101,250,2020-04-06
Canada,"16,667","+1,155",323 ,+43,"3,616",2020-04-06
Austria,"12,297",+246,220 ,+16,"3,463",2020-04-06
Brazil,"12,183",+929,564 ,+78,127,2020-04-06
Portugal,"11,730",+452,311 ,+16,140,2020-04-06
S. Korea,"10,284",+47,186 ,+3,"6,598",2020-04-06
Israel,"8,904",+474,57 ,+8,585,2020-04-06
Sweden,"7,206",+376,477 ,+76,205,2020-04-06
Russia,"6,343",+954,47 ,+2,406,2020-04-06
Australia,"5,895",+145,45 ,+8,"2,432",2020-04-06
Norway,"5,865",+178,76 ,+5,32,2020-04-06
Ireland,"5,364",+370,174 ,+16,25,2020-04-06
Czechia,"4,822",+235,78 ,+11,121,2020-04-06
Chile,"4,815",+344,37 ,+3,728,2020-04-06
India,"4,778",+489,136 ,+18,375,2020-04-06
Denmark,"4,681",+312,187 ,+8,"1,378",2020-04-06
Poland,"4,413",+311,107 ,+13,162,2020-04-06
Romania,"4,057",+193,176 ,+25,406,2020-04-06
Japan,"3,906",+252,92 ,+7,592,2020-04-06
Malaysia,"3,793",+131,62 ,+1,"1,241",2020-04-06
Pakistan,"3,766",+609,53 ,+6,259,2020-04-06
Ecuador,"3,747",+101,191 ,+11,100,2020-04-06
Philippines,"3,660",+414,163 ,+11,73,2020-04-06
Luxembourg,"2,843",+39,41 ,+5,500,2020-04-06
Saudi Arabia,"2,605",+203,38 ,+4,551,2020-04-06
Peru,"2,561",+280,92 ,+9,997,2020-04-06
Indonesia,"2,491",+218,209 ,+11,192,2020-04-06
Thailand,"2,220",+51,26 ,+3,793,2020-04-06
Serbia,"2,200",+292,58 ,+7,118,2020-04-06
Finland,"2,176",+249,27 ,,300,2020-04-06
Mexico,"2,143",+253,94 ,+15,633,2020-04-06
Panama,"2,100",+299,55 ,+9,14,2020-04-06
UAE,"2,076",+277,11 ,+1,167,2020-04-06
Qatar,"1,832",+228,4 ,,131,2020-04-06
Dominican Republic,"1,828",+83,86 ,+4,33,2020-04-06
Greece,"1,755",+20,79 ,+6,269,2020-04-06
South Africa,"1,686",+31,12 ,+1,95,2020-04-06
Argentina,"1,628",+74,53 ,+7,325,2020-04-06
Colombia,"1,579",+94,46 ,+11,88,2020-04-06
Iceland,"1,562",+76,6 ,+2,460,2020-04-06
Algeria,"1,423",+103,173 ,+21,90,2020-04-06
Singapore,"1,375",+66,6 ,,344,2020-04-06
Egypt,"1,322",+149,85 ,+7,259,2020-04-06
Ukraine,"1,319",+11,38 ,+1,28,2020-04-06
Croatia,"1,222",+40,16 ,+1,130,2020-04-06
Morocco,"1,120",+99,80 ,+10,81,2020-04-06
Estonia,"1,108",+11,19 ,+4,62,2020-04-06
New Zealand,"1,106",+67,1 ,,176,2020-04-06
Iraq,"1,031",+70,64 ,+3,344,2020-04-06
Slovenia,"1,021",+24,30 ,+2,102,2020-04-06
Moldova,965,+101,19 ,+4,37,2020-04-06
Hong Kong,915,+24,4 ,,216,2020-04-06
Lithuania,843,+32,15 ,+2,8,2020-04-06
Armenia,833,+11,8 ,+1,62,2020-04-06
Bahrain,756,+56,4 ,,458,2020-04-06
Hungary,744,+11,38 ,+4,67,2020-04-06
Diamond Princess,712,,11 ,,619,2020-04-06
Belarus,700,+138,13 ,+5,53,2020-04-06
Bosnia and Herzegovina,674,+20,29 ,+6,47,2020-04-06
Kuwait,665,+109,1 ,,103,2020-04-06
Kazakhstan,662,+78,6 ,,46,2020-04-06
Cameroon,658,+8,9 ,,17,2020-04-06
Azerbaijan,641,+57,7 ,,44,2020-04-06
Tunisia,596,+22,22 ,,5,2020-04-06
North Macedonia,570,+15,23 ,+5,30,2020-04-06
Bulgaria,549,+18,22 ,+2,39,2020-04-06
Latvia,542,+9,1 ,,16,2020-04-06
Lebanon,541,+14,19 ,+1,60,2020-04-06
Slovakia,534,+49,2 ,+1,8,2020-04-06
Andorra,525,+24,21 ,+3,31,2020-04-06
Costa Rica,467,+13,2 ,,18,2020-04-06
Cyprus,465,+19,9 ,,45,2020-04-06
Uzbekistan,457,+115,2 ,,30,2020-04-06
Uruguay,415,+9,6 ,,123,2020-04-06
Albania,377,+16,21 ,+1,116,2020-04-06
Taiwan,373,+10,5 ,,57,2020-04-06
Afghanistan,367,+18,11 ,+4,18,2020-04-06
Burkina Faso,364,+19,18 ,+1,108,2020-04-06
Cuba,350,+30,9 ,+1,18,2020-04-06
Jordan,349,+4,6 ,+1,126,2020-04-06
Réunion,349,+5, ,,40,2020-04-06
Oman,331,+33,2 ,,61,2020-04-06
Channel Islands,323,+14,7 ,+1,27,2020-04-06
Ivory Coast,323,+62,3 ,,41,2020-04-06
Honduras,298,+30,22 ,,6,2020-04-06
San Marino,277,+11,32 ,,35,2020-04-06
Palestine,254,+17,1 ,,24,2020-04-06
Niger,253,+69,10 ,,26,2020-04-06
Vietnam,245,+4, ,,95,2020-04-06
Mauritius,244,+17,7 ,,7,2020-04-06
Malta,241,+14, ,,5,2020-04-06
Nigeria,238,+6,5 ,,35,2020-04-06
Montenegro,233,+19,2 ,,1,2020-04-06
Senegal,226,+4,2 ,,92,2020-04-06
Kyrgyzstan,216,+69,4 ,+3,33,2020-04-06
Ghana,214,,5 ,,31,2020-04-06
Georgia,188,+14,2 ,,39,2020-04-06
Bolivia,183,+26,11 ,+1,2,2020-04-06
Faeroe Islands,183,+2, ,,107,2020-04-06
Sri Lanka,178,+2,5 ,,38,2020-04-06
Venezuela,165,+6,7 ,,65,2020-04-06
Mayotte,164,+17,2 ,,15,2020-04-06
DRC,161,+7,18 ,,5,2020-04-06
Kenya,158,+16,6 ,+2,4,2020-04-06
Martinique,151,+2,4 ,,50,2020-04-06
Guadeloupe,139,+4,7 ,,31,2020-04-06
Isle of Man,139,+12,1 ,,55,2020-04-06
Brunei ,135,,1 ,,82,2020-04-06
Guinea,128,+7, ,,5,2020-04-06
Bangladesh,123,+35,12 ,+3,33,2020-04-06
Cambodia,114,, ,,53,2020-04-06
Paraguay,113,+9,5 ,+2,12,2020-04-06
Gibraltar,109,+6, ,,52,2020-04-06
Trinidad and Tobago,105,+1,8 ,+1,1,2020-04-06
Rwanda,105,+1, ,,4,2020-04-06
Djibouti,90,+31, ,,9,2020-04-06
Madagascar,82,+10, ,,2,2020-04-06
Liechtenstein,77,,1 ,,55,2020-04-06
Monaco,77,+4,1 ,,4,2020-04-06
French Guiana,72,+4, ,,34,2020-04-06
Aruba,71,+7, ,,2,2020-04-06
Guatemala,70,,3 ,,15,2020-04-06
El Salvador,69,+7,4 ,+1,5,2020-04-06
Barbados,60,+4,2 ,+1,6,2020-04-06
Jamaica,59,+1,3 ,,8,2020-04-06
Togo,58,+14,3 ,,23,2020-04-06
Uganda,52,, ,,,2020-04-06
Mali,47,+2,5 ,,9,2020-04-06
Congo,45,,5 ,,2,2020-04-06
Ethiopia,44,+1,2 ,,4,2020-04-06
Macao,44,, ,,10,2020-04-06
French Polynesia,42,+1, ,,,2020-04-06
Bermuda,39,+2,2 ,+2,17,2020-04-06
Cayman Islands,39,,1 ,,1,2020-04-06
Zambia,39,,1 ,,5,2020-04-06
Sint Maarten,37,+12,6 ,+2,1,2020-04-06
Bahamas,33,+4,5 ,,5,2020-04-06
Saint Martin,32,,2 ,,7,2020-04-06
Guyana,31,+7,4 ,,8,2020-04-06
Eritrea,31,+2, ,,,2020-04-06
Benin,26,+4,1 ,+1,5,2020-04-06
Gabon,24,+3,1 ,,1,2020-04-06
Haiti,24,+3,1 ,,,2020-04-06
Tanzania,24,+2,1 ,,3,2020-04-06
Myanmar,22,+1,1 ,,,2020-04-06
Syria,19,,2 ,,2,2020-04-06
Libya,19,+1,1 ,,1,2020-04-06
Maldives,19,, ,,13,2020-04-06
Guinea-Bissau,18,, ,,,2020-04-06
New Caledonia,18,, ,,1,2020-04-06
Angola,16,+2,2 ,,2,2020-04-06
Equatorial Guinea,16,, ,,3,2020-04-06
Namibia,16,, ,,3,2020-04-06
Antigua and Barbuda,15,, ,,,2020-04-06
Dominica,15,+1, ,,1,2020-04-06
Mongolia,15,+1, ,,2,2020-04-06
Liberia,14,+1,3 ,,3,2020-04-06
Fiji,14,+2, ,,,2020-04-06
Saint Lucia,14,, ,,1,2020-04-06
Curaçao,13,+2,1 ,,5,2020-04-06
Sudan,12,,2 ,,2,2020-04-06
Grenada,12,,  ,,,2020-04-06
Laos,12,+1, ,,,2020-04-06
Greenland,11,, ,,4,2020-04-06
Seychelles,11,+1, ,,,2020-04-06
Suriname,10,,1 ,,,2020-04-06
Zimbabwe,10,+1,1 ,,,2020-04-06
Mozambique,10,, ,,1,2020-04-06
Saint Kitts and Nevis,10,, ,,,2020-04-06
Eswatini,10,+1, ,,4,2020-04-06
MS Zaandam,9,,2 ,,,2020-04-06
Nepal,9,, ,,1,2020-04-06
Chad,9,, ,,,2020-04-06
Turks and Caicos,8,+3,1 ,,,2020-04-06
CAR,8,, ,,,2020-04-06
Belize,7,+2,1 ,+1,,2020-04-06
Cabo Verde,7,,1 ,,1,2020-04-06
Vatican City,7,, ,,,2020-04-06
St. Vincent Grenadines,7,, ,,1,2020-04-06
Somalia,7,, ,,1,2020-04-06
Botswana,6,,1 ,,,2020-04-06
Mauritania,6,,1 ,,2,2020-04-06
Nicaragua,6,,1 ,,,2020-04-06
Montserrat,6,, ,,,2020-04-06
St. Barth,6,, ,,1,2020-04-06
Sierra Leone,6,, ,,,2020-04-06
Bhutan,5,, ,,2,2020-04-06
Malawi,5,+1, ,,,2020-04-06
Gambia,4,,1 ,,2,2020-04-06
Sao Tome and Principe,4,+4, ,,,2020-04-06
Western Sahara,4,, ,,,2020-04-06
Anguilla,3,, ,,,2020-04-06
British Virgin Islands,3,, ,,,2020-04-06
Burundi,3,, ,,,2020-04-06
Caribbean Netherlands,2,, ,,,2020-04-06
Falkland Islands,2,, ,,,2020-04-06
Papua New Guinea,2,+1, ,,,2020-04-06
Saint Pierre Miquelon,1,, ,,,2020-04-06
South Sudan,1,, ,,,2020-04-06
Timor-Leste,1,, ,,,2020-04-06
Total:,"1,346,004","+73,142","74,654","+5,230","278,445",2020-04-06
